Date,Now,Open,High,Low,Volume
20130308,1089.6,1087.94,1092.95,1085.35,0.0017
20130311,1094.45,1089.7,1103.05,1089.7,0.0045
20130312,1095.53,1094.15,1098.25,1093.15,0.001
20130313,1098.67,1095.53,1099.8,1095.53,0.0029
20130314,1107.78,1098.62,1110.7,1098.62,0.0083
20130315,1110.64,1108.03,1114.15,1106.15,0.0026
20130318,1114.56,1110.64,1117.35,1110.64,0.0035
20130319,1113.33,1114.51,1114.51,1107.3,-0.0011
20130320,1116.03,1113.38,1120.35,1113.38,0.0024
20130321,1116.2,1115.6,1118.1,1114.3,0.0002
20130322,1119.35,1115.55,1119.45,1115.45,0.0028
20130325,1111.5,1119.7,1119.7,1110.2,-0.007
20130326,1107.82,1111.45,1113.25,1104.15,-0.0033
20130327,1111.9,1107.87,1112.26,1106,0.0037
20130328,1113.44,1111.7,1115.4,1108.5,0.0014
20130329,1111.35,1113.44,1115,1110.1,-0.0019
20130401,1114.72,1111.53,1117.28,1111.53,0.003
20130402,1118.17,1114.55,1118.79,1110.1,0.0031
20130403,1117.88,1118.49,1123.92,1116.28,-0.0003
20130404,1124.93,1117.8,1126.05,1117.8,0.0063
20130405,1137.68,1124.93,1138.43,1123.65,0.0113
20130408,1142.76,1137.68,1142.96,1134.25,0.0045
20130409,1139.5,1142.53,1145.3,1135.3,-0.0029
20130410,1135.55,1139.2,1141.4,1135.1,-0.0035
20130411,1129.87,1130.55,1132.55,1126.05,-0.005
20130412,1129.5,1129.72,1133.5,1128.3,-0.0003
20130415,1119.94,1129.45,1131.5,1118.03,-0.0085
20130416,1113.95,1120.04,1124.85,1113.95,-0.0053
20130417,1121.03,1113.95,1122.63,1110.45,0.0064
20130418,1119.78,1120.82,1125.7,1118.2,-0.0011
20130419,1119.48,1119.93,1123.15,1115.85,-0.0003
20130422,1119.86,1119.38,1124.65,1118.75,0.0003
20130423,1119.62,1119.86,1122.95,1116.65,-0.0002
20130424,1117.14,1119.62,1121.15,1117.14,-0.0022
20130425,1111.8,1117.24,1117.24,1111.38,-0.0048
20130426,1111.23,1112,1112.75,1107.55,-0.0005
20130429,1104.24,1111.03,1111.03,1104.24,-0.0063
20130430,1101.61,1103.25,1104.65,1100.55,-0.0024
20130501,1101.25,1101.91,1102.89,1100.9,-0.0003
20130502,1102.53,1100.6,1102.75,1098.15,0.0012
20130503,1097.5,1102.58,1102.7,1095.82,-0.0046
20130506,1094.98,1097.35,1097.35,1092.35,-0.0023
20130507,1090.3,1094.93,1096,1090.07,-0.0043
20130508,1086.5,1090.5,1090.5,1086.4,-0.0035
20130509,1091.98,1086.35,1092.48,1082.15,0.005
20130510,1106.15,1091.78,1107.65,1091.78,0.013
20130513,1113.27,1106.15,1116.75,1106.15,0.0064
20130514,1110.07,1113.57,1114.25,1106.45,-0.0029
20130515,1114.82,1109.82,1115.3,1109.82,0.0043
20130516,1117.74,1114.82,1118.18,1112.5,0.0026
20130517,1118.27,1118.49,1118.49,1117.28,0.0005
20130520,1117.91,1117.55,1120.53,1115.82,-0.0003
20130521,1111.5,1118.69,1118.69,1110.8,-0.0057
20130522,1114.05,1110.7,1114.27,1110.7,0.0023
20130523,1128.8,1114.3,1129.3,1114.3,0.0132
